2026-05-31 19:00:50,767 | INFO     | orchestrator | ╔════════════════════════════════════════════════════════════╗
2026-05-31 19:00:50,768 | INFO     | orchestrator | ║  eToro Nautilus — Daily Orchestrator v2.0                  ║
2026-05-31 19:00:50,768 | INFO     | orchestrator | ║  Start: 2026-05-31T17:00:50.768118+00:00                    ║
2026-05-31 19:00:50,768 | INFO     | orchestrator | ║  DRY-RUN: NEIN                                                 ║
2026-05-31 19:00:50,768 | INFO     | orchestrator | ║  Standalone: Kein adapters/-Import                        ║
2026-05-31 19:00:50,768 | INFO     | orchestrator | ╚════════════════════════════════════════════════════════════╝
2026-05-31 19:00:50,768 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "ORCHESTRATOR_START", "timestamp_utc": "2026-05-31T17:00:50.768248+00:00", "dry_run": false, "skip_api_fetch": false, "version": "2.0", "python": "3.12.3 (main, Mar 23 2026, 19:04:32) [GCC 13.3.0]"}
2026-05-31 19:00:50,768 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-31 19:00:50,768 | INFO     | orchestrator | PHASE 1: Universe & Mapping
2026-05-31 19:00:50,768 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-31 19:00:50,768 | WARNING  | orchestrator | [Phase 1] Universe-Daten sind 370.0h alt (> 24h). Bitte neu fetchen.
2026-05-31 19:00:50,769 | INFO     | orchestrator | [Phase 1] 49 eindeutige Instrumente im Universum.
2026-05-31 19:00:50,769 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "PHASE1_COMPLETE", "timestamp_utc": "2026-05-31T17:00:50.769095+00:00", "universe_size": 49, "unmapped_count": 0}
2026-05-31 19:00:50,769 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-31 19:00:50,769 | INFO     | orchestrator | PHASE 2: Datenbeschaffung (Multi-ZIP, Merge, API-Backfill)
2026-05-31 19:00:50,769 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-31 19:00:50,769 | INFO     | orchestrator | [Phase 2a] Keine ZIP-Dateien in data/import/ gefunden.
2026-05-31 19:00:50,769 | INFO     | api_backfiller | [api_backfiller] Universe geladen: 49 Instrumente.
2026-05-31 19:00:50,769 | INFO     | orchestrator | [Phase 2c] API-Backfill für 49 Symbole …
2026-05-31 19:00:50,769 | DEBUG    | asyncio | Using selector: EpollSelector
