2026-05-29 17:26:59,157 | INFO     | orchestrator | ╔════════════════════════════════════════════════════════════╗
2026-05-29 17:26:59,157 | INFO     | orchestrator | ║  eToro Nautilus — Daily Orchestrator v2.0                  ║
2026-05-29 17:26:59,157 | INFO     | orchestrator | ║  Start: 2026-05-29T15:26:59.157812+00:00                    ║
2026-05-29 17:26:59,157 | INFO     | orchestrator | ║  DRY-RUN: NEIN                                                 ║
2026-05-29 17:26:59,157 | INFO     | orchestrator | ║  Standalone: Kein adapters/-Import                        ║
2026-05-29 17:26:59,157 | INFO     | orchestrator | ╚════════════════════════════════════════════════════════════╝
2026-05-29 17:26:59,157 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "ORCHESTRATOR_START", "timestamp_utc": "2026-05-29T15:26:59.157934+00:00", "dry_run": false, "skip_api_fetch": false, "version": "2.0", "python": "3.12.3 (main, Mar 23 2026, 19:04:32) [GCC 13.3.0]"}
2026-05-29 17:26:59,158 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-29 17:26:59,158 | INFO     | orchestrator | PHASE 1: Universe & Mapping
2026-05-29 17:26:59,158 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-29 17:26:59,158 | WARNING  | orchestrator | [Phase 1] Universe-Daten sind 320.4h alt (> 24h). Bitte neu fetchen.
2026-05-29 17:26:59,158 | INFO     | orchestrator | [Phase 1] 49 eindeutige Instrumente im Universum.
2026-05-29 17:26:59,158 | INFO     | orchestrator | [JSON_EVENT] {"event_type": "PHASE1_COMPLETE", "timestamp_utc": "2026-05-29T15:26:59.158864+00:00", "universe_size": 49, "unmapped_count": 0}
2026-05-29 17:26:59,158 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-29 17:26:59,158 | INFO     | orchestrator | PHASE 2: Datenbeschaffung (Multi-ZIP, Merge, API-Backfill)
2026-05-29 17:26:59,158 | INFO     | orchestrator | ════════════════════════════════════════════════════════════
2026-05-29 17:26:59,159 | INFO     | orchestrator | [Phase 2a] Keine ZIP-Dateien in data/import/ gefunden.
2026-05-29 17:26:59,159 | INFO     | api_backfiller | [api_backfiller] Universe geladen: 49 Instrumente.
2026-05-29 17:26:59,159 | INFO     | orchestrator | [Phase 2c] API-Backfill für 49 Symbole …
2026-05-29 17:26:59,159 | DEBUG    | asyncio | Using selector: EpollSelector
2026-05-29 17:26:59,159 | INFO     | api_backfiller | [api_backfiller] Starte Backfill: 2026-05-22 → 2026-05-29 | 49 Instrumente
2026-05-29 17:26:59,159 | INFO     | api_backfiller | [api_backfiller] Lade Instrument-Precisions via eToro API …
2026-05-29 17:26:59,873 | INFO     | api_backfiller | [api_backfiller] Precisions via API: 0/49 Instrumente.
2026-05-29 17:27:00,178 | DEBUG    | api_backfiller | [api_backfiller] ACN.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:00,246 | INFO     | api_backfiller | [api_backfiller] ACN.ETORO: 91 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:00,251 | DEBUG    | api_backfiller | [api_backfiller] ACN.ETORO: 690→620 Zeilen (-70 Duplikate)
2026-05-29 17:27:00,255 | INFO     | api_backfiller | [api_backfiller] ACN.ETORO: 620 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:01,360 | DEBUG    | api_backfiller | [api_backfiller] ADBE.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:01,440 | INFO     | api_backfiller | [api_backfiller] ADBE.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:01,443 | DEBUG    | api_backfiller | [api_backfiller] ADBE.ETORO: 1268→1197 Zeilen (-71 Duplikate)
2026-05-29 17:27:01,444 | INFO     | api_backfiller | [api_backfiller] ADBE.ETORO: 1197 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:02,550 | DEBUG    | api_backfiller | [api_backfiller] AG.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:02,619 | INFO     | api_backfiller | [api_backfiller] AG.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:02,622 | DEBUG    | api_backfiller | [api_backfiller] AG.ETORO: 760→736 Zeilen (-24 Duplikate)
2026-05-29 17:27:02,623 | INFO     | api_backfiller | [api_backfiller] AG.ETORO: 736 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:03,729 | DEBUG    | api_backfiller | [api_backfiller] CAT.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:03,793 | INFO     | api_backfiller | [api_backfiller] CAT.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:03,798 | DEBUG    | api_backfiller | [api_backfiller] CAT.ETORO: 1170→1099 Zeilen (-71 Duplikate)
2026-05-29 17:27:03,799 | INFO     | api_backfiller | [api_backfiller] CAT.ETORO: 1099 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:04,905 | DEBUG    | api_backfiller | [api_backfiller] CHTR.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:04,973 | INFO     | api_backfiller | [api_backfiller] CHTR.ETORO: 83 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:04,978 | DEBUG    | api_backfiller | [api_backfiller] CHTR.ETORO: 447→380 Zeilen (-67 Duplikate)
2026-05-29 17:27:04,979 | INFO     | api_backfiller | [api_backfiller] CHTR.ETORO: 380 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:06,085 | DEBUG    | api_backfiller | [api_backfiller] CIEN.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:06,276 | INFO     | api_backfiller | [api_backfiller] CIEN.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:06,281 | DEBUG    | api_backfiller | [api_backfiller] CIEN.ETORO: 578→554 Zeilen (-24 Duplikate)
2026-05-29 17:27:06,282 | INFO     | api_backfiller | [api_backfiller] CIEN.ETORO: 554 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:07,387 | DEBUG    | api_backfiller | [api_backfiller] CMG.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:07,458 | INFO     | api_backfiller | [api_backfiller] CMG.ETORO: 91 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:07,462 | DEBUG    | api_backfiller | [api_backfiller] CMG.ETORO: 763→693 Zeilen (-70 Duplikate)
2026-05-29 17:27:07,462 | INFO     | api_backfiller | [api_backfiller] CMG.ETORO: 693 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:08,568 | DEBUG    | api_backfiller | [api_backfiller] COHR.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:08,645 | INFO     | api_backfiller | [api_backfiller] COHR.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:08,648 | DEBUG    | api_backfiller | [api_backfiller] COHR.ETORO: 835→811 Zeilen (-24 Duplikate)
2026-05-29 17:27:08,649 | INFO     | api_backfiller | [api_backfiller] COHR.ETORO: 811 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:09,754 | DEBUG    | api_backfiller | [api_backfiller] CPRT.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:09,820 | INFO     | api_backfiller | [api_backfiller] CPRT.ETORO: 91 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:09,823 | DEBUG    | api_backfiller | [api_backfiller] CPRT.ETORO: 596→526 Zeilen (-70 Duplikate)
2026-05-29 17:27:09,824 | INFO     | api_backfiller | [api_backfiller] CPRT.ETORO: 526 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:10,932 | DEBUG    | api_backfiller | [api_backfiller] CRM.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:11,017 | INFO     | api_backfiller | [api_backfiller] CRM.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:11,023 | DEBUG    | api_backfiller | [api_backfiller] CRM.ETORO: 2331→2260 Zeilen (-71 Duplikate)
2026-05-29 17:27:11,024 | INFO     | api_backfiller | [api_backfiller] CRM.ETORO: 2260 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:12,130 | DEBUG    | api_backfiller | [api_backfiller] DOCU.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:12,203 | INFO     | api_backfiller | [api_backfiller] DOCU.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:12,207 | DEBUG    | api_backfiller | [api_backfiller] DOCU.ETORO: 482→458 Zeilen (-24 Duplikate)
2026-05-29 17:27:12,208 | INFO     | api_backfiller | [api_backfiller] DOCU.ETORO: 458 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:13,313 | DEBUG    | api_backfiller | [api_backfiller] DUOL.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:13,382 | INFO     | api_backfiller | [api_backfiller] DUOL.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:13,387 | DEBUG    | api_backfiller | [api_backfiller] DUOL.ETORO: 465→394 Zeilen (-71 Duplikate)
2026-05-29 17:27:13,388 | INFO     | api_backfiller | [api_backfiller] DUOL.ETORO: 394 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:14,493 | DEBUG    | api_backfiller | [api_backfiller] E.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:14,581 | INFO     | api_backfiller | [api_backfiller] E.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:14,584 | DEBUG    | api_backfiller | [api_backfiller] E.ETORO: 476→452 Zeilen (-24 Duplikate)
2026-05-29 17:27:14,585 | INFO     | api_backfiller | [api_backfiller] E.ETORO: 452 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:15,691 | DEBUG    | api_backfiller | [api_backfiller] EEFT.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:15,767 | INFO     | api_backfiller | [api_backfiller] EEFT.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:15,771 | DEBUG    | api_backfiller | [api_backfiller] EEFT.ETORO: 1336→1312 Zeilen (-24 Duplikate)
2026-05-29 17:27:15,772 | INFO     | api_backfiller | [api_backfiller] EEFT.ETORO: 1312 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:16,878 | DEBUG    | api_backfiller | [api_backfiller] ESLT.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:16,944 | INFO     | api_backfiller | [api_backfiller] ESLT.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:16,949 | DEBUG    | api_backfiller | [api_backfiller] ESLT.ETORO: 713→689 Zeilen (-24 Duplikate)
2026-05-29 17:27:16,950 | INFO     | api_backfiller | [api_backfiller] ESLT.ETORO: 689 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:18,056 | DEBUG    | api_backfiller | [api_backfiller] FICO.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:18,121 | INFO     | api_backfiller | [api_backfiller] FICO.ETORO: 89 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:18,125 | DEBUG    | api_backfiller | [api_backfiller] FICO.ETORO: 454→385 Zeilen (-69 Duplikate)
2026-05-29 17:27:18,127 | INFO     | api_backfiller | [api_backfiller] FICO.ETORO: 385 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:19,232 | DEBUG    | api_backfiller | [api_backfiller] FISV.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:19,358 | INFO     | api_backfiller | [api_backfiller] FISV.ETORO: 89 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:19,363 | DEBUG    | api_backfiller | [api_backfiller] FISV.ETORO: 918→849 Zeilen (-69 Duplikate)
2026-05-29 17:27:19,364 | INFO     | api_backfiller | [api_backfiller] FISV.ETORO: 849 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:20,470 | DEBUG    | api_backfiller | [api_backfiller] GLW.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:20,538 | INFO     | api_backfiller | [api_backfiller] GLW.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:20,543 | DEBUG    | api_backfiller | [api_backfiller] GLW.ETORO: 1292→1221 Zeilen (-71 Duplikate)
2026-05-29 17:27:20,545 | INFO     | api_backfiller | [api_backfiller] GLW.ETORO: 1221 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:21,650 | DEBUG    | api_backfiller | [api_backfiller] GOOGL.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:21,718 | INFO     | api_backfiller | [api_backfiller] GOOGL.ETORO: 92 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:21,724 | DEBUG    | api_backfiller | [api_backfiller] GOOGL.ETORO: 3266→3195 Zeilen (-71 Duplikate)
2026-05-29 17:27:21,726 | INFO     | api_backfiller | [api_backfiller] GOOGL.ETORO: 3195 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:22,831 | DEBUG    | api_backfiller | [api_backfiller] GSAT.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:22,897 | INFO     | api_backfiller | [api_backfiller] GSAT.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:22,902 | DEBUG    | api_backfiller | [api_backfiller] GSAT.ETORO: 1407→1383 Zeilen (-24 Duplikate)
2026-05-29 17:27:22,904 | INFO     | api_backfiller | [api_backfiller] GSAT.ETORO: 1383 Zeilen gespeichert (price_prec=2, size_prec=2) → data.parquet
2026-05-29 17:27:24,009 | DEBUG    | api_backfiller | [api_backfiller] GTLB.ETORO: Precision-Fallback price_prec=2, size_prec=2
2026-05-29 17:27:24,084 | INFO     | api_backfiller | [api_backfiller] GTLB.ETORO: 28 Candles konvertiert (price_prec=2, size_prec=2).
2026-05-29 17:27:24,088 | DEBUG    | api_backfiller | [api_backfiller] GTLB.ETORO: 891→867 Zeilen (-24 Duplikate)
